<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,20210601,000100,1.2224300,1.2226000,1.2223000,1.2224000,22
EURUSD,1,20210601,000200,1.2224000,1.2224000,1.2223700,1.2223800,9
EURUSD,1,20210601,000300,1.2223300,1.2226600,1.2223300,1.2226500,21
EURUSD,1,20210601,000400,1.2224400,1.2227000,1.2224200,1.2227000,16
EURUSD,1,20210601,000500,1.2226100,1.2227000,1.2224200,1.2224700,7
EURUSD,1,20210601,000600,1.2223600,1.2227000,1.2223600,1.2223600,47
EURUSD,1,20210601,000700,1.2226000,1.2227000,1.2223600,1.2223600,40
EURUSD,1,20210601,000800,1.2224800,1.2227000,1.2223400,1.2223600,28
EURUSD,1,20210601,000900,1.2224800,1.2226600,1.2223600,1.2226000,32
EURUSD,1,20210601,001000,1.2227000,1.2227100,1.2224000,1.2224700,26
EURUSD,1,20210601,001100,1.2226000,1.2227000,1.2223400,1.2224500,70
EURUSD,1,20210601,001200,1.2225000,1.2227000,1.2224400,1.2224500,6
EURUSD,1,20210601,001300,1.2227000,1.2227000,1.2224000,1.2224500,15
EURUSD,1,20210601,001400,1.2226500,1.2227000,1.2223600,1.2224500,20
EURUSD,1,20210601,001500,1.2226100,1.2226500,1.2224000,1.2224500,14
EURUSD,1,20210601,001600,1.2226200,1.2226600,1.2223600,1.2224500,15
EURUSD,1,20210601,001700,1.2225000,1.2227000,1.2223600,1.2224500,28
EURUSD,1,20210601,001800,1.2224500,1.2227400,1.2223900,1.2224500,51
EURUSD,1,20210601,001900,1.2226000,1.2227200,1.2223500,1.2225000,45
EURUSD,1,20210601,002000,1.2225000,1.2227000,1.2223500,1.2226000,56
EURUSD,1,20210601,002100,1.2226200,1.2227000,1.2223500,1.2226000,23
EURUSD,1,20210601,002200,1.2225000,1.2226900,1.2223500,1.2226000,34
EURUSD,1,20210601,002300,1.2226000,1.2226000,1.2223600,1.2226000,20
EURUSD,1,20210601,002400,1.2225000,1.2227000,1.2223800,1.2226000,31
EURUSD,1,20210601,002500,1.2225000,1.2227700,1.2223800,1.2223800,54
EURUSD,1,20210601,002600,1.2225500,1.2226900,1.2223500,1.2223900,104
EURUSD,1,20210601,002700,1.2223500,1.2227200,1.2223500,1.2225000,56
EURUSD,1,20210601,002800,1.2223500,1.2226000,1.2223500,1.2223900,59
EURUSD,1,20210601,002900,1.2225000,1.2227100,1.2223500,1.2223900,69
EURUSD,1,20210601,003000,1.2225000,1.2226000,1.2223500,1.2223900,20
EURUSD,1,20210601,003100,1.2225900,1.2227300,1.2223500,1.2225000,79
EURUSD,1,20210601,003200,1.2225600,1.2227400,1.2223500,1.2223900,53
EURUSD,1,20210601,003300,1.2225000,1.2227300,1.2223500,1.2226000,50
EURUSD,1,20210601,003400,1.2225700,1.2227700,1.2223500,1.2223900,126
